30s15m.csv


Fri Dec 24 11:49:39 2021


Pax DollarUSDP,$1.00
CelsiusCEL,$3.93
LivepeerLPT,$44.20


Fri Dec 24 11:50:43 2021


Bitcoin,"$51,259.35"
Ethereum,"$4,081.69"
Binance Coin,$544.74
Tether,$0.9989
Solana,$192.55
Cardano,$1.41
XRP,$0.9219
USD Coin,$0.9989
Terra,$96.66
Avalanche,$120.31
PolkadotDOT,$28.92
DogecoinDOGE,$0.19
SHIBA INUSHIB,$0.00
PolygonMATIC,$2.53
Crypto.com CoinCRO,$0.67
Binance USDBUSD,$1.00
Wrapped BitcoinWBTC,$51044.04
LitecoinLTC,$162.55
UniswapUNI,$17.94
ChainlinkLINK,$22.18
AlgorandALGO,$1.58
TerraUSDUST,$1.00
DaiDAI,$1.00
NEAR ProtocolNEAR,$15.07
Bitcoin CashBCH,$455.50
TRONTRX,$0.08
StellarXLM,$0.28
DecentralandMANA,$3.59
Axie InfinityAXS,$106.28
CosmosATOM,$28.24
VeChainVET,$0.09
FTX TokenFTT,$43.20
HederaHBAR,$0.31
The SandboxSAND,$6.04
FantomFTM,$2.18
Bitcoin BEP2BTCB,$51365.14
Internet ComputerICP,$27.58
FilecoinFIL,$36.33
ElrondEGLD,$252.91
Ethereum ClassicETC,$37.72
THETATHETA,$4.70
TezosXTZ,$4.59
HeliumHNT,$37.26
AaveAAVE,$275.53
MoneroXMR,$204.47
IOTAMIOTA,$1.26
UNUS SED LEOLEO,$3.58
GalaGALA,$0.48
EOSEOS,$3.44
KlaytnKLAY,$1.31
The GraphGRT,$0.71
PancakeSwapCAKE,$12.36
LoopringLRC,$2.25
StacksSTX,$2.31
FlowFLOW,$9.32
HarmonyONE,$0.25
BitTorrentBTT,$0.00
MakerMKR,$2582.42
Bitcoin SVBSV,$130.92
KusamaKSM,$291.39
Enjin CoinENJ,$2.82
QuantQNT,$195.80
Curve DAO TokenCRV,$5.24
ZcashZEC,$166.47
eCashXEC,$0.00
AmpAMP,$0.05
NeoNEO,$29.19
ArweaveAR,$60.64
KadenaKDA,$12.41
THORChainRUNE,$7.78
Basic Attention TokenBAT,$1.31
OKBOKB,$30.85
KuCoin TokenKCS,$23.09
CeloCELO,$4.98
ChilizCHZ,$0.31
WavesWAVES,$16.30
DashDASH,$148.96
Huobi TokenHT,$9.58
HoloHOT,$0.01
CompoundCOMP,$226.76
NexoNEXO,$2.47
IoTeXIOTX,$0.14
NEMXEM,$0.14
TrueUSDTUSD,$1.00
1inch Network1INCH,$2.86
MinaMINA,$3.62
Theta FuelTFUEL,$0.22
yearn.financeYFI,$30803.87
Oasis NetworkROSE,$0.31
DecredDCR,$77.23
SushiSwapSUSHI,$7.94
XDC NetworkXDC,$0.08
RavencoinRVN,$0.10
ICONICX,$1.45
QtumQTUM,$9.94
BORABORA,$1.13
OMG NetworkOMG,$6.79
Pax DollarUSDP,$1.00
CelsiusCEL,$3.93
LivepeerLPT,$44.20


Fri Dec 24 11:51:15 2021


Bitcoin,"$51,259.35"
Ethereum,"$4,081.69"
Binance Coin,$544.74
Tether,$0.9989
Solana,$192.55
Cardano,$1.41
XRP,$0.9219
USD Coin,$0.9989
Terra,$96.66
Avalanche,$120.31
PolkadotDOT,$28.92
DogecoinDOGE,$0.19
SHIBA INUSHIB,$0.00
PolygonMATIC,$2.53
Crypto.com CoinCRO,$0.67
Binance USDBUSD,$1.00
Wrapped BitcoinWBTC,$51044.04
LitecoinLTC,$162.55
UniswapUNI,$17.94
ChainlinkLINK,$22.18
AlgorandALGO,$1.58
TerraUSDUST,$1.00
DaiDAI,$1.00
NEAR ProtocolNEAR,$15.07
Bitcoin CashBCH,$455.50
TRONTRX,$0.08
StellarXLM,$0.28
DecentralandMANA,$3.59
Axie InfinityAXS,$106.28
CosmosATOM,$28.24
VeChainVET,$0.09
FTX TokenFTT,$43.20
HederaHBAR,$0.31
The SandboxSAND,$6.04
FantomFTM,$2.18
Bitcoin BEP2BTCB,$51365.14
Internet ComputerICP,$27.58
FilecoinFIL,$36.33
ElrondEGLD,$252.91
Ethereum ClassicETC,$37.72
THETATHETA,$4.70
TezosXTZ,$4.59
HeliumHNT,$37.26
AaveAAVE,$275.53
MoneroXMR,$204.47
IOTAMIOTA,$1.26
UNUS SED LEOLEO,$3.58
GalaGALA,$0.48
EOSEOS,$3.44
KlaytnKLAY,$1.31
The GraphGRT,$0.71
PancakeSwapCAKE,$12.36
LoopringLRC,$2.25
StacksSTX,$2.31
FlowFLOW,$9.32
HarmonyONE,$0.25
BitTorrentBTT,$0.00
MakerMKR,$2582.42
Bitcoin SVBSV,$130.92
KusamaKSM,$291.39
Enjin CoinENJ,$2.82
QuantQNT,$195.80
Curve DAO TokenCRV,$5.24
ZcashZEC,$166.47
eCashXEC,$0.00
AmpAMP,$0.05
NeoNEO,$29.19
ArweaveAR,$60.64
KadenaKDA,$12.41
THORChainRUNE,$7.78
Basic Attention TokenBAT,$1.31
OKBOKB,$30.85
KuCoin TokenKCS,$23.09
CeloCELO,$4.98
ChilizCHZ,$0.31
WavesWAVES,$16.30
DashDASH,$148.96
Huobi TokenHT,$9.58
HoloHOT,$0.01
CompoundCOMP,$226.76
NexoNEXO,$2.47
IoTeXIOTX,$0.14
NEMXEM,$0.14
TrueUSDTUSD,$1.00
1inch Network1INCH,$2.86
MinaMINA,$3.62
Theta FuelTFUEL,$0.22
yearn.financeYFI,$30803.87
Oasis NetworkROSE,$0.31
DecredDCR,$77.23
SushiSwapSUSHI,$7.94
XDC NetworkXDC,$0.08
RavencoinRVN,$0.10
ICONICX,$1.45
QtumQTUM,$9.94
BORABORA,$1.13
OMG NetworkOMG,$6.79
Pax DollarUSDP,$1.00
CelsiusCEL,$3.93
LivepeerLPT,$44.20


Fri Dec 24 11:51:46 2021


Bitcoin,"$51,259.35"
Ethereum,"$4,081.69"
Binance Coin,$544.74
Tether,$0.9989
Solana,$192.55
Cardano,$1.41
XRP,$0.9219
USD Coin,$0.9989
Terra,$96.66
Avalanche,$120.31
PolkadotDOT,$28.92
DogecoinDOGE,$0.19
SHIBA INUSHIB,$0.00
PolygonMATIC,$2.53
Crypto.com CoinCRO,$0.67
Binance USDBUSD,$1.00
Wrapped BitcoinWBTC,$51044.04
LitecoinLTC,$162.55
UniswapUNI,$17.94
ChainlinkLINK,$22.18
AlgorandALGO,$1.58
TerraUSDUST,$1.00
DaiDAI,$1.00
NEAR ProtocolNEAR,$15.07
Bitcoin CashBCH,$455.50
TRONTRX,$0.08
StellarXLM,$0.28
DecentralandMANA,$3.59
Axie InfinityAXS,$106.28
CosmosATOM,$28.24
VeChainVET,$0.09
FTX TokenFTT,$43.20
HederaHBAR,$0.31
The SandboxSAND,$6.04
FantomFTM,$2.18
Bitcoin BEP2BTCB,$51365.14
Internet ComputerICP,$27.58
FilecoinFIL,$36.33
ElrondEGLD,$252.91
Ethereum ClassicETC,$37.72
THETATHETA,$4.70
TezosXTZ,$4.59
HeliumHNT,$37.26
AaveAAVE,$275.53
MoneroXMR,$204.47
IOTAMIOTA,$1.26
UNUS SED LEOLEO,$3.58
GalaGALA,$0.48
EOSEOS,$3.44
KlaytnKLAY,$1.31
The GraphGRT,$0.71
PancakeSwapCAKE,$12.36
LoopringLRC,$2.25
StacksSTX,$2.31
FlowFLOW,$9.32
HarmonyONE,$0.25
BitTorrentBTT,$0.00
MakerMKR,$2582.42
Bitcoin SVBSV,$130.92
KusamaKSM,$291.39
Enjin CoinENJ,$2.82
QuantQNT,$195.80
Curve DAO TokenCRV,$5.24
ZcashZEC,$166.47
eCashXEC,$0.00
AmpAMP,$0.05
NeoNEO,$29.19
ArweaveAR,$60.64
KadenaKDA,$12.41
THORChainRUNE,$7.78
Basic Attention TokenBAT,$1.31
OKBOKB,$30.85
KuCoin TokenKCS,$23.09
CeloCELO,$4.98
ChilizCHZ,$0.31
WavesWAVES,$16.30
DashDASH,$148.96
Huobi TokenHT,$9.58
HoloHOT,$0.01
CompoundCOMP,$226.76
NexoNEXO,$2.47
IoTeXIOTX,$0.14
NEMXEM,$0.14
TrueUSDTUSD,$1.00
1inch Network1INCH,$2.86
MinaMINA,$3.62
Theta FuelTFUEL,$0.22
yearn.financeYFI,$30803.87
Oasis NetworkROSE,$0.31
DecredDCR,$77.23
SushiSwapSUSHI,$7.94
XDC NetworkXDC,$0.08
RavencoinRVN,$0.10
ICONICX,$1.45
QtumQTUM,$9.94
BORABORA,$1.13
OMG NetworkOMG,$6.79
Pax DollarUSDP,$1.00
CelsiusCEL,$3.93
LivepeerLPT,$44.20


Fri Dec 24 11:52:18 2021


Bitcoin,"$51,259.35"
Ethereum,"$4,081.69"
Binance Coin,$544.74
Tether,$0.9989
Solana,$192.55
Cardano,$1.41
XRP,$0.9219
USD Coin,$0.9989
Terra,$96.66
Avalanche,$120.31
PolkadotDOT,$28.92
DogecoinDOGE,$0.19
SHIBA INUSHIB,$0.00
PolygonMATIC,$2.53
Crypto.com CoinCRO,$0.67
Binance USDBUSD,$1.00
Wrapped BitcoinWBTC,$51044.04
LitecoinLTC,$162.55
UniswapUNI,$17.94
ChainlinkLINK,$22.18
AlgorandALGO,$1.58
TerraUSDUST,$1.00
DaiDAI,$1.00
NEAR ProtocolNEAR,$15.07
Bitcoin CashBCH,$455.50
TRONTRX,$0.08
StellarXLM,$0.28
DecentralandMANA,$3.59
Axie InfinityAXS,$106.28
CosmosATOM,$28.24
VeChainVET,$0.09
FTX TokenFTT,$43.20
HederaHBAR,$0.31
The SandboxSAND,$6.04
FantomFTM,$2.18
Bitcoin BEP2BTCB,$51365.14
Internet ComputerICP,$27.58
FilecoinFIL,$36.33
ElrondEGLD,$252.91
Ethereum ClassicETC,$37.72
THETATHETA,$4.70
TezosXTZ,$4.59
HeliumHNT,$37.26
AaveAAVE,$275.53
MoneroXMR,$204.47
IOTAMIOTA,$1.26
UNUS SED LEOLEO,$3.58
GalaGALA,$0.48
EOSEOS,$3.44
KlaytnKLAY,$1.31
The GraphGRT,$0.71
PancakeSwapCAKE,$12.36
LoopringLRC,$2.25
StacksSTX,$2.31
FlowFLOW,$9.32
HarmonyONE,$0.25
BitTorrentBTT,$0.00
MakerMKR,$2582.42
Bitcoin SVBSV,$130.92
KusamaKSM,$291.39
Enjin CoinENJ,$2.82
QuantQNT,$195.80
Curve DAO TokenCRV,$5.24
ZcashZEC,$166.47
eCashXEC,$0.00
AmpAMP,$0.05
NeoNEO,$29.19
ArweaveAR,$60.64
KadenaKDA,$12.41
THORChainRUNE,$7.78
Basic Attention TokenBAT,$1.31
OKBOKB,$30.85
KuCoin TokenKCS,$23.09
CeloCELO,$4.98
ChilizCHZ,$0.31
WavesWAVES,$16.30
DashDASH,$148.96
Huobi TokenHT,$9.58
HoloHOT,$0.01
CompoundCOMP,$226.76
NexoNEXO,$2.47
IoTeXIOTX,$0.14
NEMXEM,$0.14
TrueUSDTUSD,$1.00
